release_date,name,popularity,artists
2026-02-06,Reliquia do 2T,87,"DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT"
2026-02-18,Famoso Ímã | O poderoso chatão,84,"Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF"
2026-01-30,Passo com a Bunda e Sarro,75,"Prod.Nifour, CACAU CHUU, Storys Funk, MC Nito"
2025-12-17,Gauchinha,84,DJ Japa NK
2025-11-10,Pra Não Esquecer De Mim,75,"Aaron Modesto, Mc Magal, MC Meno K, DJ Glenner"
2026-03-16,Fumaça do ice,53,"Mc Menor Rf, Mc Vitão do Sr, DJ GUIZIN DA SERRA"
2025-11-05,Montagem Sarra Sarra,74,"DJ YUZAK, MC BN, Mc RN Original"
2025-07-19,Yuzak é Muito Sagaz,23,"MC Luana SP, DJ YUZAK"
2026-01-20,Melô De Poucas Ideias - Reggae Funk,66,"Dj Slk Sucessada, MC K.K, MC Marsha, Lockdown Produtora"
2025-08-04,MEGA DO COQUEIRO,61,"DJ SC, Mc Lekão"
2025-12-18,SET DJ YURI PEDRADA - TRAVA CHIP,77,Various Artists
2025-12-11,MONTAGEM BAILE DE FAVELA,67,Various Artists
2025-11-24,Esse Cupido Não Me Ajuda,76,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending"
2026-04-13,VITA'S HOUSE,51,Vita
2025-05-16,Teu Preferido,69,"DJ BRIZY, Mc Rodrigo do CN, FreesTyle Sounds"
2025-09-11,Posso Até Não Te Dar Flores,86,Various Artists
2025-11-03,Ritmo Lilly Wood,70,Various Artists
2021-06-17,Lobo da Matilha,71,"MC Leozinho ZS, MC Diogo da vn"
2026-03-02,Semi Nua 2,76,"Mc Iguinho Ct, Mc Negão Original, Aaron Modesto, Mc Dena"
2026-03-11,O QUE TU QUER?,58,"DJ ALGUS ZL, Yunmaho, MC Flavinho, Mc Gw"
2026-01-22,"QUANDO VOCÊ SE FOI CHOREI (SORRI, SOU REI)",72,"DJ TOPO, Natiruts, Yuri Redicopa, Ryuchi"
2025-11-10,SO ESSENCIAL,65,"4KBATU, MC Caja"
2026-01-09,Eu Vou Cuspir,75,"DJ YAN MARIOTO, MC Marlon PH, BIG MC"
2026-01-23,"GOSTA DE GOLD, GOSTA DE ICE, E DE CACHORRADA",65,"Ph Sheik, Mc Magrinho"
2025-09-25,ME POSTOU NO DAILY - FESTA DO BIG G,75,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat"
2025-10-09,Novamente Trombei uma Novinha,65,"MC MARTINS SP, MinaV, DJ KIK PROD, Doug Hits"
2025-03-21,Sequência da Botação,66,"DJ Ryder, Dj Dudu Coupper, Mc Gw, DJ Victor Falcão"
2025-09-01,"Sem Frescura, Sem Pirraça",64,"Mc Rodrigo do CN, Mc Jhey, DJ PH DE CAMPOS, DJ Denilson o clínico"
2025-11-10,Bolha do Catucadão,61,"DJ DANN ORIGINAL, DJ Thseven7, Kaue Mc, Oliver MC"
2025-09-12,Na Casa de Praia,52,"DJ GX 019, Mc Brunin JP, Re Studio"
2025-12-18,Ela ké Leitada,77,"Prod.Nifour, Mc Gw, CACAU CHUU, Storys Funk"
2025-11-08,MEGA FOLDED,61,"DJ ML da Vila, Dj Tchouzen"
2025-06-20,Senta Olhando Pra Mim,69,DJ Arana
2025-11-21,Submundo Bailão,55,"Dj Clei, DJ LL, Mc Jhey, Submundo808"
2025-11-06,Diário de um Cafajeste,84,"DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP"
2025-10-10,MONTAGEM CAMERA LENTA,76,"DJ DUARTE, DJ ORBITAL, Dj Rs"
2025-11-11,Ela Da Palinha,66,"DJ GUILHERME BORGES, DJ DERBHEN, MC W1, FreesTyle Sounds"
2025-08-07,Vai Tomando Pock Pock,77,Mc Lele JP
2025-07-25,Cala Boca Piranha,65,"Mc Neguinho do ITR, DJ THIAGO GENERAL, Mc Roba Cena, MC Nito"
2025-08-26,Foda Selvagem,59,"Dj Dédda, DJ Marcão 019, MC Nito"
2025-09-08,Tô na Brasilia com o Zigão,76,"DJ Zigão, MC Roger"
2025-08-02,Faz assim,72,"Prod Gomes, DJ Gomes Original"
2025-08-28,Marra de Criminoso,58,"Dj Mathy 044, Mc Rodrigo do CN, MIDNIGHT PM"
2025-06-19,THAINÁ THAINÁ,65,"MC Nito, MT DO PALACIO, BK2P, Rennan da Penha"
2025-03-27,Fica De Quatão,69,"DJ Biel Divulga, DJ Dozabri, Mc Lekão"
2025-09-02,Ele Carrega Minha Bolsa,67,"dj andreoli, TOMAS, Mac Júlia, DJ Ws da Igrejinha"
2025-10-05,Salienciazinha,59,"Mc Gimenes, MC BN, DJ YUZAK"
2025-08-28,SEQUÊNCIA FEITICEIRA,77,Various Artists
2025-02-28,FAMOSINHA,79,"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN"
2025-07-17,Sobe Na Moto Roubadona,70,"DJ KELVINHO DA ZS, Iraqui ZL"
2025-05-08,Equipe Caos,65,Various Artists
2025-06-12,Valentino,72,"MC Willian, DJ Japa NK, DJ DAVI DOGDOG"
2025-06-24,ME LIGOU NA MADRUGADA,59,"DJ PK O Único, MC Nito, Mc Lysa"
2024-11-12,Meu Carro Nao Tem Porta Luva - Remastered 2024,72,"DJ NATAN 22, Mc Rodrigo do CN"
2025-08-29,MEC MEC MTG,57,"MC Marlon PH, Zairon"
